"id","duration_(m)","max_break_(m)","break_between_blocks_(m)","practice_1","practice_2","acc_catch","mean_rt_(s)","alignment_rate","congruency_order","left_hand_color","browser","age","sex","valid_data","n"
"trunk-0d62","<span style=""     color: #9C964A !important;"" >20</span>","<span style=""     color: #9C964A !important;"" >0.466</span>","<span style=""     color: #9C964A !important;"" >0.117</span>","<span style=""     color: #9C964A !important;"" >0.9</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >0.906</span>","<span style=""     color: #9C964A !important;"" >2.764</span>",0.458,"IC block first","orange","<span style=""     color: #9C964A !important;"" >Firefox</span>",55,"Female",TRUE,121
"twist-f84c","<span style=""     color: #9C964A !important;"" >19</span>","<span style=""     color: #9C964A !important;"" >0.739</span>","<span style=""     color: #9C964A !important;"" >0.107</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >2.094</span>",0.594,"IC block first","orange","<span style=""     color: #9C964A !important;"" >Chrome</span>",22,"Male",TRUE,120
"mouth-3c64","<span style=""     color: #9C964A !important;"" >21</span>","<span style=""     color: #9C964A !important;"" >3.275</span>","<span style=""     color: #9C964A !important;"" >0.116</span>","<span style=""     color: #9C964A !important;"" >0.8</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >0.969</span>","<span style=""     color: #9C964A !important;"" >1.464</span>",0.594,"IC block first","orange","<span style=""     color: #9C964A !important;"" >Firefox</span>",30,"Female",TRUE,119
"syrup-22af","<span style=""     color: #9C964A !important;"" >31</span>","<span style=""     color: #9C964A !important;"" >4.293</span>","<span style=""     color: #9C964A !important;"" >0.749</span>","<span style=""     color: #9C964A !important;"" >0.8</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >0.938</span>","<span style=""     color: #9C964A !important;"" >2.866</span>",0.573,"C block first","orange","<span style=""     color: #9C964A !important;"" >Chrome</span>",29,"Male",TRUE,118
"map-93ac64","<span style=""     color: #9C964A !important;"" >25</span>","<span style=""     color: #9C964A !important;"" >0.926</span>","<span style=""     color: #9C964A !important;"" >0.75</span>","<span style=""     color: #9C964A !important;"" >0.8</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >0.969</span>","<span style=""     color: #972D15 !important;"" >4.263</span>",0.469,"IC block first","blue","<span style=""     color: #9C964A !important;"" >Chrome</span>",41,"Male",FALSE,117
"neon-466a9","<span style=""     color: #9C964A !important;"" >18</span>","<span style=""     color: #9C964A !important;"" >0.505</span>","<span style=""     color: #9C964A !important;"" >0.125</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >0.969</span>","<span style=""     color: #9C964A !important;"" >2.357</span>",0.49,"IC block first","orange","<span style=""     color: #9C964A !important;"" >Chrome</span>",24,"Female",TRUE,116
"dress-d3b0","<span style=""     color: #9C964A !important;"" >30</span>","<span style=""     color: #9C964A !important;"" >4.121</span>","<span style=""     color: #9C964A !important;"" >0.256</span>","<span style=""     color: #85D4E3 !important;"" >0.5</span>","<span style=""     color: #9C964A !important;"" >0.8</span>","<span style=""     color: #9C964A !important;"" >0.938</span>","<span style=""     color: #9C964A !important;"" >1.371</span>",0.667,"C block first","blue","<span style=""     color: #9C964A !important;"" >Chrome</span>",27,"Female",TRUE,115
"clean-6fcb","<span style=""     color: #9C964A !important;"" >20</span>","<span style=""     color: #9C964A !important;"" >1.038</span>","<span style=""     color: #9C964A !important;"" >1.038</span>","<span style=""     color: #9C964A !important;"" >0.8</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >2.302</span>",0.75,"IC block first","orange","<span style=""     color: #9C964A !important;"" >Chrome</span>",25,"Female",TRUE,114
"haven-46cc","<span style=""     color: #9C964A !important;"" >29</span>","<span style=""     color: #85D4E3 !important;"" >5.329</span>","<span style=""     color: #9C964A !important;"" >1.626</span>","<span style=""     color: #9C964A !important;"" >0.9</span>","<span style=""     color: #9C964A !important;"" >0.9</span>","<span style=""     color: #9C964A !important;"" >0.969</span>","<span style=""     color: #9C964A !important;"" >2.162</span>",0.698,"IC block first","orange","<span style=""     color: #9C964A !important;"" >Chrome</span>",31,"Female",TRUE,113
"jumbo-5699","<span style=""     color: #9C964A !important;"" >20</span>","<span style=""     color: #9C964A !important;"" >0.365</span>","<span style=""     color: #9C964A !important;"" >0.108</span>","<span style=""     color: #9C964A !important;"" >0.8</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >0.969</span>","<span style=""     color: #9C964A !important;"" >2.028</span>",0.698,"C block first","blue","<span style=""     color: #85D4E3 !important;"" >Edge</span>",33,"Male",TRUE,112
"ebony-c1ba","<span style=""     color: #9C964A !important;"" >20</span>","<span style=""     color: #9C964A !important;"" >0.507</span>","<span style=""     color: #9C964A !important;"" >0.507</span>","<span style=""     color: #9C964A !important;"" >0.7</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >0.938</span>","<span style=""     color: #9C964A !important;"" >1.604</span>",0.625,"IC block first","orange","<span style=""     color: #9C964A !important;"" >Firefox</span>",32,"Male",TRUE,111
"query-73b2","<span style=""     color: #9C964A !important;"" >19</span>","<span style=""     color: #9C964A !important;"" >0.495</span>","<span style=""     color: #9C964A !important;"" >0.123</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >2.695</span>",0.531,"C block first","orange","<span style=""     color: #9C964A !important;"" >Chrome</span>",39,"Male",TRUE,110
"spend-462d","<span style=""     color: #9C964A !important;"" >22</span>","<span style=""     color: #9C964A !important;"" >1.123</span>","<span style=""     color: #9C964A !important;"" >0.247</span>","<span style=""     color: #9C964A !important;"" >0.9</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >2.376</span>",0.583,"C block first","orange","<span style=""     color: #9C964A !important;"" >Chrome</span>",26,"Female",TRUE,109
"pug-ee4316","<span style=""     color: #9C964A !important;"" >20</span>","<span style=""     color: #9C964A !important;"" >0.671</span>","<span style=""     color: #9C964A !important;"" >0.137</span>","<span style=""     color: #9C964A !important;"" >0.8</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #972D15 !important;"" >0.719</span>","<span style=""     color: #9C964A !important;"" >2.494</span>",0.521,"C block first","blue","<span style=""     color: #9C964A !important;"" >Chrome</span>",26,"Male",FALSE,108
"think-472c","<span style=""     color: #9C964A !important;"" >20</span>","<span style=""     color: #9C964A !important;"" >1.298</span>","<span style=""     color: #9C964A !important;"" >0.675</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >0.969</span>","<span style=""     color: #9C964A !important;"" >1.752</span>",0.583,"IC block first","blue","<span style=""     color: #9C964A !important;"" >Firefox</span>",30,"Male",TRUE,107
"vapor-a952","<span style=""     color: #9C964A !important;"" >18</span>","<span style=""     color: #9C964A !important;"" >0.435</span>","<span style=""     color: #9C964A !important;"" >0.435</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >2.077</span>",0.531,"IC block first","blue","<span style=""     color: #9C964A !important;"" >Chrome</span>",24,"Female",TRUE,106
"stash-5071","<span style=""     color: #9C964A !important;"" >20</span>","<span style=""     color: #9C964A !important;"" >0.46</span>","<span style=""     color: #9C964A !important;"" >0.106</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >0.9</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1.339</span>",0.562,"C block first","blue","<span style=""     color: #9C964A !important;"" >Chrome</span>",25,"Male",TRUE,105
"dance-5437","<span style=""     color: #9C964A !important;"" >18</span>","<span style=""     color: #9C964A !important;"" >0.513</span>","<span style=""     color: #9C964A !important;"" >0.149</span>","<span style=""     color: #9C964A !important;"" >0.8</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >0.969</span>","<span style=""     color: #9C964A !important;"" >1.713</span>",0.729,"IC block first","orange","<span style=""     color: #9C964A !important;"" >Chrome</span>",27,"Male",TRUE,104
